"가해운전자 차종별 ","사고년도","합계","2016","","","","","","","2017","","","","","","","2018","","","","","","","2019","","","","","","","2020","","","","","",""
"","","","합계","일반국도","지방도","특별광역시도","시군도","고속국도","기타","합계","일반국도","지방도","특별광역시도","시군도","고속국도","기타","합계","일반국도","지방도","특별광역시도","시군도","고속국도","기타","합계","일반국도","지방도","특별광역시도","시군도","고속국도","기타","합계","일반국도","지방도","특별광역시도","시군도","고속국도","기타"
"개인형이동수단(PM)","사고건수","1,686","-","-","-","-","-","-","-","117","4","5","57","36","-","15","225","5","10","110","75","-","25","447","18","17","235","129","-","48","897","30","23","528","232","-","84"
"","사망자수","26","-","-","-","-","-","-","-","4","1","0","1","0","-","2","4","0","1","0","3","-","0","8","0","1","2","5","-","0","10","1","1","4","4","-","0"
"","부상자수","1,820","-","-","-","-","-","-","-","124","3","5","63","39","-","14","238","5","9","119","80","-","25","473","20","18","251","131","-","53","985","33","27","572","256","-","97"
"건설기계","사고건수","10,118","235","26","34","75","87","2","11","2,476","393","287","642","1,002","58","94","2,427","368","259","667","929","61","143","2,542","450","229","763","892","68","140","2,438","418","200","814","835","60","111"
"","사망자수","338","8","1","1","2","4","0","0","96","9","15","26","42","2","2","73","4","9","23","31","0","6","84","11","9","27","30","4","3","77","8","6","23","29","4","7"
"","부상자수","15,172","368","34","55","114","151","2","12","3,737","663","421","941","1,494","112","106","3,734","590","404","1,003","1,408","127","202","3,803","766","330","1,081","1,315","127","184","3,530","692","292","1,114","1,212","95","125"
"농기계","사고건수","1,676","17","-","3","-","11","-","3","450","49","92","14","228","-","67","398","36","67","13","215","-","67","444","50","64","9","229","-","92","367","44","63","11","187","-","62"
"","사망자수","233","2","-","1","-","0","-","1","65","3","9","1","27","-","25","60","7","7","2","30","-","14","57","3","4","1","30","-","19","49","5","3","0","27","-","14"
"","부상자수","1,873","23","-","3","-","18","-","2","491","63","104","15","263","-","46","431","43","78","12","236","-","62","511","70","76","10","253","-","102","417","63","86","12","197","-","59"
"기타","사고건수","751","-","-","-","-","-","-","-","160","11","11","78","39","4","17","169","8","11","80","44","6","20","203","18","13","88","64","1","19","219","14","9","106","56","7","27"
"","사망자수","12","-","-","-","-","-","-","-","6","0","1","1","3","0","1","1","0","0","0","1","0","0","2","0","0","1","0","1","0","3","1","1","0","0","0","1"
"","부상자수","874","-","-","-","-","-","-","-","202","22","21","85","43","9","22","199","10","11","90","52","7","29","226","19","14","92","77","0","24","247","16","9","113","64","14","31"
"불명","사고건수","15,811","335","14","28","153","90","9","41","4,370","178","239","2,195","1,389","141","228","4,043","197","215","2,028","1,157","163","283","3,836","239","185","1,950","1,028","139","295","3,227","185","140","1,668","887","114","233"
"","사망자수","8","1","0","0","1","0","0","0","0","0","0","0","0","0","0","6","0","1","0","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"","부상자수","17,529","368","18","30","167","100","11","42","4,816","214","269","2,386","1,512","202","233","4,556","239","268","2,200","1,294","244","311","4,238","277","216","2,124","1,114","203","304","3,551","213","158","1,819","952","166","243"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
