노선,구간,계,startpoint,endpoint,startpoint_coor,endpoint_coor
고창담양선,담양JCT~대덕JCT,22828,담양JCT,대덕JCT,"(35.3211394, 126.9881673)","(0, 0)"
고창담양선,북광주~담양JCT,37378,북광주,담양JCT,"(35.1599745, 126.9101315)","(35.3211394, 126.9881673)"
고창담양선,장성JCT~북광주,27222,장성JCT,북광주,"(0, 0)","(35.1599745, 126.9101315)"
고창담양선,장성물류~장성JCT,39404,장성물류,장성JCT,"(0, 0)","(0, 0)"
광주대구선,가조~해인사,38440,가조,해인사,"(35.7109815, 128.0147371)","(35.8011781, 128.098098)"
광주대구선,거창~가조,36614,거창,가조,"(35.6867229, 127.9095155)","(35.7109815, 128.0147371)"
광주대구선,고령JCT~옥포JCT,68532,고령JCT,옥포JCT,"(35.7261415, 128.262953)","(0, 0)"
광주대구선,고령~동고령,42440,고령,동고령,"(35.7261415, 128.262953)","(35.7261415, 128.262953)"
광주대구선,고서JCT~담양JCT,36820,고서JCT,담양JCT,"(0, 0)","(35.3211394, 126.9881673)"
광주대구선,남원JCT~남원,26820,남원JCT,남원,"(35.416357, 127.3904877)","(35.416357, 127.3904877)"
광주대구선,남원~동남원,24850,남원,동남원,"(35.416357, 127.3904877)","(0, 0)"
광주대구선,담양JCT~담양,44202,담양JCT,담양,"(35.3211394, 126.9881673)","(35.3211394, 126.9881673)"
광주대구선,담양~순창,33766,담양,순창,"(35.3211394, 126.9881673)","(35.3744136, 127.1375968)"
광주대구선,동고령~고령JCT,69888,동고령,고령JCT,"(35.7261415, 128.262953)","(35.7261415, 128.262953)"
광주대구선,동남원~지리산,24498,동남원,지리산,"(0, 0)","(35.3369444, 127.7305555)"
광주대구선,순창~남원JCT,31318,순창,남원JCT,"(35.3744136, 127.1375968)","(35.416357, 127.3904877)"
광주대구선,지리산~함양,22618,지리산,함양,"(35.3369444, 127.7305555)","(35.52046139999999, 127.7251763)"
광주대구선,함양JCT~거창,27400,함양JCT,거창,"(35.52046139999999, 127.7251763)","(35.6867229, 127.9095155)"
