"노선
번호","지 점
번 호",구    간,2017,2018,2019,2020
,4511,감곡IC ~ 여주JCT,"66,446","67,662","65,798","69,539"
,4512,여주JCT ~ 남여주IC,"18,332","17,304","19,824","18,854"
,04512-1,남여주IC ~ 서여주IC,"13,720","13,413","13,858","13,106"
,4513,서여주IC ~ 북여주IC,"17,352","14,747","14,876","15,054"
,4514,북여주IC ~ 남양평하이패스IC,"9,034","9,959","10,695","10,148"
,04514-1,남양평하이패스IC ~ 양평IC,"7,803","8,120","7,438","7,965"
영동선,5002,서창JCT ~ 월곶JCT,"142,794","128,513","138,727","137,297"
,5003,월곶JCT ~ 군자JCT,"103,624","85,155","90,042","93,354"
,05003-1,군자JCT ~ 서안산IC,"101,974","97,799","107,288","101,792"
,5004,서안산IC ~ 안산IC,"127,281","126,210","134,051","128,843"
,5005,안산IC ~ 안산JCT,"120,717","111,248","122,305","112,219"
,5006,안산JCT ~ 둔대JCT,"139,231","134,129","127,446","122,552"
,05006-1,둔대JCT ~ 군포IC,-     ,"131,491","129,506","130,577"
,5007,군포IC ~ 동군포IC,"129,103","127,736","142,435","135,445"
,5008,동군포IC ~ 부곡IC,"148,827","138,241","167,512","167,272"
,5009,부곡IC ~ 북수원IC,"139,929","134,355","143,231","137,744"
,5010,북수원IC ~ 동수원IC,"150,711","134,327","144,385","143,044"
,5011,동수원IC ~ 신갈JCT,"145,794","143,141","137,333","139,741"
,5012,신갈JCT ~ 마성IC,"165,603","153,176","160,182","150,613"
,5013,마성IC ~ 용인IC,"165,148","144,688","148,596","143,988"
,5014,용인IC ~ 양지IC,"138,423","133,006","128,140","125,923"
,5015,양지IC ~ 덕평IC,"108,866","104,168","106,969","106,764"
,5016,덕평IC ~ 호법JCT,"112,829","102,645","106,796","107,403"
,5017,호법JCT ~ 이천IC,"122,427","121,362","125,937","115,376"
,5018,이천IC ~ 여주JCT,"102,596","99,971","105,041","107,340"
,05018-1,여주JCT ~ 여주IC,"49,946","44,913","50,417","50,695"
,5019,여주IC ~ 문막IC,"36,690","37,915","37,988","37,341"
,5020,문막IC ~ 만종JCT,"34,446","35,458","37,515","35,686"
,5021,만종JCT ~ 원주JCT,"21,279","23,516","23,656","22,561"
,05021-1,원주JCT ~ 원주IC,"39,125","42,312","41,898","40,639"
,5022,원주IC ~ 새말IC,"36,313","38,626","39,872","39,538"
,5023,새말IC ~ 둔내IC,"31,404","30,376","32,665","34,684"
,5024,둔내IC ~ 동둔내하이패스IC,"31,142","32,910","32,641","31,483"
,05024-1,동둔내하이패스IC ~ 면온IC,"32,437","33,213","32,971","31,745"
,5025,면온IC ~ 평창IC,"31,695","31,795","35,200","34,096"
,5026,평창IC ~ 속사IC,"30,208","31,862","32,775","30,591"
,5027,속사IC ~ 진부IC,"32,184","31,280","31,614","29,849"
,5028,진부IC ~ 대관령IC,"28,365","28,922","28,508","28,432"
,5029,대관령IC ~ 강릉JCT,"30,540","30,896","31,243","29,609"
,5201,초월IC ~ 동곤지암IC,"60,547","53,809","56,627","57,089"
,5202,동곤지암IC ~ 흥천이포IC,"50,034","51,856","53,232","50,705"
,5203,흥천이포IC ~ 대신IC,"37,035","40,085","42,164","42,241"
,5204,대신IC ~ 동여주IC,"35,165","38,045","39,923","39,936"
,5205,동여주IC ~ 동양평IC,"33,801","36,799","38,577","38,477"
,5206,동양평IC ~ 서원주IC,"32,743","35,666","37,394","37,009"
,5207,서원주IC ~ 신평JCT,"35,761","37,806","41,051","39,494"
,5208,신평JCT ~ 원주JCT,"15,674","15,475","17,296","17,191"
중앙선,5501,시점 ~ 대저JCT,"59,365","58,476","64,617","59,474"
,5502,대저JCT ~ 초정IC,"60,770","66,191","76,662","73,274"
,05502-1,초정IC ~ 대감JCT,"90,557","99,323","107,669","99,450"
,05502-2,대감JCT ~ 대동JCT,-     ,"82,674","87,843","84,783"
대구부산선,05503-1,대동JCT ~ 상동IC,"53,661","47,685","42,624","42,588"
,05503-2,상동IC ~ 삼랑진IC,"41,947","42,024","33,764","38,161"
,05503-3,삼랑진IC ~ 남밀양IC,"44,353","45,006","42,196","41,612"
,05503-4,남밀양IC ~ 밀양IC,"43,094","43,353","40,512","40,702"
,05503-5,밀양IC ~ 청도IC,"39,821","37,471","36,926","38,493"
,05503-6,청도IC ~ 수성IC,"37,984","38,649","34,028","34,579"
,05503-7,수성IC ~ 동대구IC,"51,247","52,977","48,322","52,280"
,05503-8,동대구IC ~ 동대구JCT,"77,919","79,648","80,108","81,697"
중앙선,5506,금호JCT ~ 칠곡IC,"60,187","59,562","63,519","60,701"
,5507,칠곡IC ~ 다부IC,"51,176","52,469","52,994","49,756"
,5508,다부IC ~ 가산IC,"52,623","51,827","54,228","52,318"
,5509,가산IC ~ 군위JCT,"36,337","36,521","38,158","37,998"
,05509-1,군위JCT ~ 군위IC,"41,247","44,231","46,662","44,383"
,5510,군위IC ~ 의성IC,"36,549","37,352","40,314","40,292"
,5511,의성IC ~ 안동JCT,"28,845","32,571","31,706","29,474"
,05511-1,안동JCT ~ 남안동IC,"30,067","32,020","33,503","32,029"
,5512,남안동IC ~ 서안동IC,"22,499","22,133","23,938","22,806"
,5513,서안동IC ~ 예천IC,"18,435","20,059","16,882","15,977"
,5514,예천IC ~ 영주IC,"17,785","19,868","21,259","20,470"
,5515,영주IC ~ 풍기IC,"13,915","15,912","15,215","15,169"
,5516,풍기IC ~ 단양IC,"19,511","22,088","23,088","22,255"
,5517,단양IC ~ 북단양IC,"19,112","21,273","20,210","19,405"
,5518,북단양IC ~ 남제천IC,"25,423","25,747","24,188","23,044"
,5519,남제천IC ~ 제천JCT,"21,249","20,462","22,694","22,647"
,05519-1,제천JCT ~ 제천IC,-     ,"16,659","17,010","16,759"
,5520,제천IC ~ 신림IC,"27,654","31,935","31,278","30,794"
,5521,신림IC ~ 남원주IC,"30,936","31,248","31,543","30,660"
,5522,남원주IC ~ 만종JCT,"35,044","42,594","47,258","46,298"
,5523,만종JCT ~ 신평JCT,"69,945","37,282","35,214","33,663"
,05523-1,신평JCT ~ 북원주IC,"18,197","18,722","22,565","22,099"
,5524,북원주IC ~ 횡성IC,"19,589","20,311","21,298","20,587"
,5525,횡성IC ~ 홍천IC,"20,101","20,216","20,497","19,488"
,5526,홍천IC ~ 춘천JCT,"23,248","22,206","24,753","22,761"
,5527,춘천JCT ~ 춘천IC,"30,390","33,013","36,315","37,475"
강일춘천선,6001,강일JCT ~ 선동IC,"151,853","170,923","180,930","187,740"
,6002,선동IC ~ 미사IC,"114,827","117,179","144,665","148,730"
,6003,미사IC ~ 덕소삼패IC,"88,543","84,052","89,200","93,665"
,6004,덕소삼패IC ~ 화도IC,"77,132","77,643","87,754","86,082"
,6005,화도IC ~ 서종IC,"53,178","56,042","61,077","59,564"
,6006,서종IC ~ 설악IC,"49,963","49,732","64,005","62,507"
,6007,설악IC ~ 강촌IC,"44,438","42,018","44,567","47,632"
,6008,강촌IC ~ 남춘천IC,"39,427","38,290","44,831","46,022"
,6009,남춘천IC ~ 조양IC,"30,720","34,164","27,547","26,079"
,6010,조양IC ~ 춘천JCT,"32,361","23,247","35,802","35,821"
서울양양선,6011,춘천JCT ~ 동홍천IC,"28,377","29,345","32,388","32,106"
,6012,동홍천IC ~ 내촌IC,"24,551","26,342","29,009","30,000"
,6013,내촌IC ~ 인제IC,"23,478","25,364","26,917","27,177"
,6014,인제IC ~ 서양양IC,"22,334","24,243","25,556","25,786"
,6015,서양양IC ~ 양양JC,"21,667","22,599","24,740","26,044"
부산울산선,06500-0,시점 ~ 동부산IC,"40,615","43,047","44,129","45,884"
,06500-1,동부산IC ~ 해운대IC,"38,713","43,255","43,180","46,273"
,06500-2,해운대IC ~ 기장IC,"44,202","48,972","51,395","50,593"
,06500-3,기장IC ~ 장안IC,"40,967","37,781","42,480","42,015"
,06500-4,장안IC ~ 온양IC,"42,359","48,994","53,408","49,669"
,06500-5,온양IC ~ 청량IC,"40,129","43,201","44,403","45,100"
,06500-6,청량IC ~ 울주JCT,"31,846","29,695","31,387","30,325"
,06500-12,울주JCT ~ 문수IC,-     ,-     ,-     ,-     
,06500-7,문수IC ~ 울산JCT,"30,101","33,133","30,951","31,640"
동해선,06500-8,울산JCT ~ 범서IC,"23,813","24,370","23,144","22,104"
,06500-9,범서IC ~ 남경주IC,"21,852","22,011","21,730","21,052"
,06500-10,남경주IC ~ 동경주IC,"17,168","17,787","20,108","20,081"
,06500-11,동경주IC ~ 남포항IC,"17,769","20,077","19,695","18,794"
,06501-1,근덕IC ~ 삼척IC,"5,864","6,169","7,681","7,699"
,06501-2,삼척IC ~ 동해IC,"12,189","12,034","12,994","12,156"
,6501,동해IC ~ 망상IC,"16,988","18,139","21,668","21,013"
,6502,망상IC ~ 옥계IC,"21,579","23,391","26,201","25,222"
,6503,옥계IC ~ 남강릉IC,"21,998","21,965","24,504","23,247"
,06503-1,남강릉IC ~ 강릉IC,"16,948","17,897","20,364","19,256"
,6504,강릉IC ~ 강릉JCT,"25,569","11,403","32,215","31,679"
,6505,강릉JCT ~ 북강릉IC,"17,006","13,470","18,803","17,897"
,6506,북강릉IC ~ 남양양IC,"14,226","15,362","16,837","16,323"
,6507,남양양IC ~ 하조대IC,"9,073","14,223","18,380","18,280"
,6508,하조대IC ~ 양양IC,"13,362","14,509","16,171","16,264"
,6509,양양IC ~ 북양양IC,"13,417","15,524","17,941","18,507"
,6510,북양양IC ~ 속초IC,"8,795","10,466","10,559","11,130"
수도권제1순환선(남부),10001,판교JCT ~ 성남IC,"228,497","191,438","212,243","209,014"
,10002,성남IC ~ 송파IC,"177,251","170,036","176,942","175,490"
,10003,송파IC ~ 서하남IC,"207,966","165,496","221,261","202,516"
,10004,서하남IC ~ 하남JCT,"177,363","170,390","175,491","174,832"
,10005,하남JCT ~ 상일IC,"235,329","238,388","250,898","223,519"
,10006,상일IC ~ 강일IC,"276,808","234,665","248,036","239,881"
,10007,강일IC ~ 토평IC,"160,270","147,794","154,274","140,100"
,10008,토평IC ~ 남양주IC,"208,793","193,186","198,566","188,115"
,10009,남양주IC ~ 구리IC,"178,194","178,549","178,730","166,752"
,10010,구리IC ~ 퇴계원IC,"213,144","172,174","164,581","161,442"
수도권제1순환선(북부),10031,퇴계원IC ~ 별내IC,"113,804","115,694","122,264","129,776"
,10030,별내IC ~ 의정부IC,"100,631","126,043","133,304","141,331"
,10029-1,의정부IC ~ 호원IC,"142,478","149,580","158,098","166,803"
,10029,호원IC ~ 송추IC,"130,208","137,967","144,523","154,385"
,10028,송추IC ~ 통일로IC,"125,948","135,524","137,567","148,438"
,10027-1,통일로IC ~ 고양JCT,-     ,-     ,-     ,-     
,10027,고양JCT ~ 고양IC,"132,401","139,853","144,589","147,078"
,10026,고양IC ~ 일산IC,"142,506","150,609","155,888","161,999"
수도권제1순환선(남부),10025,일산IC ~ 자유로JCT,"170,442","182,571","203,454","189,032"
,10024,자유로JCT ~ 김포IC,"224,856","191,014","206,940","201,740"
,10023,김포IC ~ 노오지JCT,"194,504","188,135","198,543","189,513"
,10022,노오지JCT ~ 계양IC,"187,040","173,747","181,537","170,514"
,10021,계양IC ~ 서운JCT,"256,317","218,413","214,199","212,076"
,10020,서운JCT ~ 중동IC,"233,834","246,657","270,418","253,490"
,10019,중동IC ~ 송내IC,"205,179","239,874","222,258","211,004"
,10018,송내IC ~ 장수IC,"230,754","276,105","244,900","230,823"
,10017,장수IC ~ 시흥IC,"159,813","176,641","165,366","155,771"
,10016,시흥IC ~ 안현JCT,"160,299","160,389","159,556","152,620"
,10015,안현JCT ~ 도리JCT,"148,274","162,691","149,145","142,884"
,10015-1,도리JCT ~ 조남JCT,"165,141","187,266","170,380","162,491"
,10014,조남JCT ~ 산본IC,"180,938","161,485","162,162","154,501"
,10013,산본IC ~ 평촌IC,"168,582","151,164","151,083","136,274"
,10012,평촌IC ~ 학의JCT,"167,579","162,913","157,881","153,431"
,10011,학의JCT ~ 판교JCT,"183,536","171,558","167,522","158,708"
남해제1지선,10204,산인JCT ~ 내서JCT,"28,798","36,395","34,957","33,962"
,10205,내서JCT ~ 서마산IC,"53,321","64,361","54,802","52,982"
,10206,서마산IC ~ 동마산IC,"56,134","64,766","59,027","57,136"
,10207,동마산IC ~ 창원JCT,"39,821","43,155","42,847","42,594"
남해제2지선,10401,냉정JCT ~ 장유IC,"63,650","53,768","59,908","62,354"
,10402,장유IC ~ 가락IC,"64,804","65,105","64,322","61,212"
,10403,가락IC ~ 서부산IC,"102,060","100,011","94,751","90,598"
,10404,서부산IC ~ 사상IC,"127,765","134,989","128,972","120,306"
부산항신항선,10501,신항교차로 ~ 진해영업소,"12,948","9,681","10,280","11,133"
,10502,진해영업소 ~ 대청IC,"12,851","28,363","30,863","34,590"
,10503,대청IC ~ 남진례IC,"10,104","19,706","21,474","22,363"
제2경인선(인천대교),11000,공항신도시JCT ~ 학익JCT,"48,086","52,740","57,125","42,520"
제2경인선,11001,인천시점 ~ 학익JCT,"61,433","69,310","69,063","63,934"
,11001-1,학익JCT ~ 문학IC,"76,012","81,389","80,755","79,341"
,11002,문학IC ~ 남동IC,"127,411","132,794","126,479","125,337"
,11003,남동IC ~ 서창JCT,"177,119","201,066","218,215","214,073"
,11004,서창JCT ~ 신천IC,"75,344","82,743","85,471","82,954"
,11005,신천IC ~ 안현JCT,"116,964","111,418","126,927","117,150"
,11006,안현JCT ~ 광명IC,"129,632","134,764","132,367","126,394"
,11007,광명IC ~ 일직JCT,"121,967","131,536","135,289","125,057"
,11008,일직JCT ~ 석수IC,"105,196","141,593","144,868","136,491"
제2경인선(안양성남),11009,석수IC ~ 삼막IC,-     ,"82,391","84,329","85,462"
,11010,삼막IC ~ 북의왕IC,-     ,"82,427","86,676","85,975"
,11011,북의왕IC ~ 북청계IC,-     ,"83,980","86,964","87,617"
,11012,북청계IC ~ 동판교IC,-     ,"62,766","64,801","64,860"
,11013,동판교IC ~ 여수대로IC,-     ,"43,071","44,751","44,443"
경인선,12004,서인천IC ~ 부평IC,"186,822","181,479","191,755","185,001"
,12005,부평IC ~ 서운JCT,"150,002","142,494","157,339","151,181"
,12006,서운JCT ~ 부천IC,"152,202","167,484","172,530","159,895"
,12007,부천IC ~ 신월IC,"168,050","175,949","174,495","162,967"
인천국제공항선,13001,인천공항 ~ 공항신도시IC,"82,838","73,971","74,755","31,748"
,13001-1,공항신도시IC ~ 공항입구JCT,"58,428","49,632","49,892","25,230"
,13001-2,공항입구JCT ~ 금산IC,-     ,-     ,-     ,"42,847"
,13002,금산IC ~ 북인천IC,"82,641","87,276","93,545","62,128"
,13003,북인천IC ~ 청라IC,"48,669","48,819","54,472","26,094"
,13003-1,청라IC ~ 노오지JCT,"81,507","86,431","87,887","63,197"
,13004,노오지JCT ~ 김포공항IC,"55,845","60,216","61,086","41,020"
,13005,김포공항IC ~ 88JCT,"45,315","49,907","49,994","33,609"
,13005-1,88JCT ~ 북로JCT,"21,779","26,230","27,039","19,278"
서천공주선,15101,동서천IC ~ 동서천JCT,"2,035","2,332","2,917","2,892"
,15102,동서천JCT ~ 서부여IC,"14,468","15,331","20,959","21,086"
,15103,서부여IC ~ 부여IC,"15,483","17,043","17,174","16,842"
,15104,부여IC ~ 청양IC,"17,253","19,577","19,344","19,437"
,15105,청양IC ~ 서공주IC,"18,182","21,928","19,742","19,617"
,15106,서공주IC ~ 서공주JCT,"20,279","21,286","21,963","20,776"
평택시흥선,15301,서평택JCT ~ 조암IC,"56,292","57,973","55,688","58,029"
,15302,조암IC ~ 마도JCT,"64,871","65,109","63,388","64,046"
,15302-1,마도JCT ~ 송산마도IC,-     ,-     ,-     ,-     
,15303,송산마도IC ~ 남안산IC,"75,440","74,217","74,163","74,409"
,15304,남안산IC ~ 군자JCT,"62,801","65,649","65,988","65,411"
오산화성선,17101,서오산JCT ~ 안녕IC,"44,659","46,667","49,115","50,123"
용인서울선,17111,흥덕IC ~ 광교상현IC,"72,403","75,111","94,991","94,014"
,17112,광교상현IC ~ 서수지IC,"114,320","99,514","132,985","130,371"
,17113,서수지IC ~ 서분당IC,"119,902","127,951","141,048","133,815"
,17114,서분당IC ~ 서판교IC,"113,779","120,251","135,836","130,233"
,17115,서판교IC ~ 금토JCT,"74,690","87,568","64,854","68,270"
,17115-1,금토JCT ~ 고등IC,-     ,-     ,-     ,-     
,17116,고등IC ~ 헌릉IC,"61,876","57,117","53,521","56,029"
호남선지선,25101,논산JCT ~ 논산IC,"37,057","40,814","42,103","39,816"
,25102,논산IC ~ 양촌하이패스IC,"42,734","45,999","48,150","45,961"
,25102-1,양촌하이패스IC ~ 계룡IC,"40,395","46,636","48,914","44,664"
,25103,계룡IC ~ 서대전JCT,"46,123","49,018","50,760","50,260"
,25104,서대전JCT ~ 유성IC,"53,615","50,282","55,017","53,938"
,25105,유성IC ~ 유성JCT,"63,262","65,340","66,337","64,635"
,25105-1,유성JCT ~ 북대전IC,"62,522","61,880","67,191","65,653"
,25106,북대전IC ~ 회덕JCT,"74,643","73,870","76,990","78,251"
고창담양선,25301,고창JCT ~ 남고창IC,"19,365","16,907","16,554","15,931"
,25301-1,남고창IC ~ 장성물류IC,"19,022","20,773","20,673","20,183"
,25302,장성물류IC ~ 장성JCT,"18,288","16,611","19,111","19,702"
,25303,장성JCT ~ 북광주IC,"11,622","12,367","12,952","13,611"
,25304,북광주IC ~ 담양JCT,"16,928","19,670","19,448","18,689"
,25305,담양JCT ~ 대덕JCT,"10,296","11,576","11,940","11,414"
대전남부순환선,30001,서대전JCT ~ 서대전IC,"39,045","41,496","45,186","41,707"
,30002,서대전IC ~ 안영IC,"37,654","37,809","41,874","39,931"
,30003,안영IC ~ 산내JCT,"35,568","30,370","31,160","30,030"
상주영천선,30101,영천JCT ~ 동영천IC,"16,074","17,457","21,214","21,744"
,30102,동영천IC ~ 화산JCT,"16,657","18,094","21,510","22,395"
,30103,화산JCT ~ 신녕IC,"21,141","24,372","28,184","29,795"
,30104,신녕IC ~ 동군위IC,"22,313","25,888","29,780","33,300"
,30105,동군위IC ~ 군위JCT,"24,279","26,649","26,949","27,528"
,30106,군위JCT ~ 서군위하이패스IC,"18,923","19,609","22,589","27,927"
,30107,서군위하이패스IC ~ 도개IC,"20,592","22,932","28,351","30,752"
,30108,도개IC ~ 상주JCT,"24,930","25,893","27,429","32,321"
,30109,상주JCT ~ 낙동JCT,"32,964","33,173","39,071","39,729"
수도권제2순환선(봉담),40001,동탄JCT ~ 북오산IC,"57,066","58,612","60,692","64,654"
,40002,북오산IC ~ 서오산JCT,"52,828","53,724","61,497","68,937"
수도권제2순환선(인천),40003,시점IC ~ 남청라IC,"48,363","63,415","67,733","76,912"
,40004,남청라IC ~ 북청라IC,"46,284","59,450","64,058","72,888"
,40005,북청라IC ~ 검단양촌IC,"43,477","56,072","61,185","68,965"
,40006,검단양촌IC ~ 대곶IC,"31,911","38,123","40,660","45,474"
,40007,대곶IC ~ 서김포통진IC,"17,321","21,917","22,624","27,909"
수도권제2순환선(봉담),40011,화성JCT ~ 남봉담IC,-     ,-     ,-     ,-     
,40012,남봉담IC ~ 남비봉팔탄IC,-     ,-     ,-     ,-     
,40013,남비봉팔탄IC ~ 팔탄JCT,-     ,-     ,-     ,-     
,40014,팔탄JCT ~ 화성IC,-     ,-     ,-     ,-     
,40015,화성IC ~ 마도IC,-     ,-     ,-     ,-     
,40016,마도IC ~ 마도JCT,-     ,-     ,-     ,-     
중부내륙지선,45101,현풍JCT ~ 북현풍하이패스IC,"34,534","36,268","34,394","33,231"
,45101-1,북현풍하이패스IC ~ 달성IC,-     ,"39,389","38,735","36,273"
,45102,달성IC ~ 옥포JCT,"46,641","49,472","49,646","48,942"
,45103,옥포JCT ~ 화원옥포IC,"81,784","82,321","76,890","73,458"
,45104,화원옥포IC ~ 유천하이패스IC,"95,422","92,282","93,640","95,748"
,45104-1,유천하이패스IC ~ 남대구IC,-     ,"44,916","46,632","72,191"
,45105,남대구IC ~ 서대구IC,"40,307","47,109","48,501","51,261"
,45107,서대구IC ~ 금호JCT,"126,193","123,205","130,830","126,685"
중앙선지선,55104,김해JCT ~ 대동JCT,"55,338","41,888","43,509","42,148"
,55101,대동JCT ~ 물금IC,"124,979","121,026","104,367","98,745"
,55102,물금IC ~ 남양산IC,"108,344","83,212","87,299","85,241"
,55103,남양산IC ~ 양산JCT,"113,866","92,271","83,305","78,527"
부산외곽순환선,60001,진영JCT ~ 진영IC,-     ,"28,312","30,080","29,753"
,60002,진영IC ~ 한림IC,-     ,"30,271","33,500","33,773"
,60003,한림IC ~ 광재IC,-     ,"32,044","36,227","37,521"
,60004,광재IC ~ 대감JCT,-     ,"38,061","46,374","47,673"
,60005,대감JCT ~ 김해가야하이패스IC,-     ,"19,834","60,393","59,182"
,60006,김해가야하이패스IC ~ 노포JCT,-     ,"54,222","59,224","57,470"
,60007,노포JCT ~ 금정IC,-     ,"44,398","51,848","52,002"
,60008,금정IC ~ 기장철마IC,-     ,"47,023","51,750","53,087"
,60009,기장철마IC ~ 기장JC,-     ,"45,094","49,612","52,342"
