"노선
번호","지 점
번 호",구    간,2017,2018,2019,2020
,1024,창원JCT ~ 동창원IC,"111,904","109,526","112,613","112,102"
,1025,동창원IC ~ 진영JCT,"109,216","99,475","97,257","89,718"
,01025-1,진영JCT ~ 진례IC,-     ,"98,319","91,881","86,458"
,1026,진례IC ~ 진례JCT,"119,406","96,143","96,748","91,331"
,01026-1,진례JCT ~ 냉정JCT,"107,110","91,696","81,389","83,684"
,1027,냉정JCT ~ 서김해IC,"77,426","65,344","57,067","59,463"
,1028,서김해IC ~ 동김해IC,"92,335","73,170","74,588","69,421"
,01028-1,동김해IC ~ 김해JCT,"115,264","94,269","94,012","93,412"
,1029,김해JCT ~ 대저JCT,"70,543","71,301","64,452","60,152"
,1030,대저JCT ~ 부산(종점),"60,710","77,339","67,289","65,367"
광주대구선,01200-1,무안공항IC ~ 북무안IC,"1,355","1,577","2,808","2,378"
,01200-2,북무안IC ~ 함평JCT,"6,238","6,354","8,060","7,504"
,01200-3,함평JCT ~ 동함평IC,"26,137","23,967","28,255","25,312"
,01200-4,동함평IC ~ 문평IC,"31,310","33,437","35,663","34,035"
,01200-5,문평IC ~ 나주IC,"35,602","34,690","36,091","33,519"
,01200-6,나주IC ~ 서광산IC,"33,754","36,421","36,709","35,375"
,01200-7,서광산IC ~ 운수IC,"37,814","39,449","39,925","40,872"
,1201,고서JCT ~ 담양JCT,"15,441","12,808","18,686","18,410"
,01201-1,담양JCT ~ 담양IC,"21,044","22,216","22,946","22,101"
,1202,담양IC ~ 순창IC,"15,829","17,454","18,096","16,883"
,1203,순창IC ~ 남원JCT,"14,706","15,446","15,903","15,659"
,01203-1,남원JCT ~ 남원IC,"12,061","11,171","14,091","13,410"
,1204,남원IC ~ 동남원IC,"12,188","11,139","12,148","12,425"
,1205,동남원IC ~ 지리산IC,"11,426","13,044","13,366","12,249"
,1206,지리산IC ~ 함양IC,"9,990","10,028","11,767","11,309"
,1207,함양IC ~ 함양JCT,"13,095","14,340","16,716","15,271"
,1208,함양JCT ~ 거창IC,"12,427","12,939","12,766","13,700"
,1209,거창IC ~ 가조IC,"18,601","20,122","19,813","18,307"
,1210,가조IC ~ 해인사IC,"18,001","20,693","19,868","19,220"
,1211,해인사IC ~ 고령IC,"20,880","23,441","24,253","22,370"
,1212,고령IC ~ 동고령IC,"29,642","26,115","23,042","21,220"
,1213,동고령IC ~ 고령JCT,"38,042","33,317","35,837","34,944"
,1214,고령JCT ~ 옥포JCT,"34,258","32,537","34,621","34,266"
함양울산선,1411,밀양JCT ~ 배내골IC,-     ,-     ,-     ,-     
,1412,배내골IC ~ 서울주JCT,-     ,-     ,-     ,-     
,1413,서울주JCT ~ 울주JCT,-     ,-     ,-     ,-     
서해안선,1501,죽림IC ~ 일로IC,"26,196","28,404","27,067","25,895"
,1502,일로IC ~ 무안IC,"34,851","35,503","36,964","34,068"
,1503,무안IC ~ 함평JCT,"33,769","38,623","37,061","35,252"
,01503-1,함평JCT ~ 함평IC,"13,999","13,742","15,921","15,868"
,1504,함평IC ~ 영광IC,"15,256","13,869","12,548","12,560"
,1505,영광IC ~ 고창JCT,"12,488","14,858","15,444","16,216"
,01505-1,고창JCT ~ 고창IC,"23,252","25,497","27,275","25,146"
,1506,고창IC ~ 선운산IC,"25,608","26,118","27,778","26,770"
,1507,선운산IC ~ 줄포IC,"27,797","27,228","28,963","28,965"
,1508,줄포IC ~ 부안IC,"23,076","23,772","24,255","25,972"
,1509,부안IC ~ 서김제IC,"24,911","27,096","28,021","28,320"
,1510,서김제IC ~ 동군산IC,"27,070","29,253","32,275","32,466"
,1511,동군산IC ~ 군산IC,"21,808","21,168","23,091","22,040"
,1512,군산IC ~ 동서천JCT,"35,340","38,141","36,621","33,837"
,01512-1,동서천JCT ~ 서천IC,"24,568","26,372","28,940","29,674"
,1513,서천IC ~ 춘장대IC,"26,906","30,963","30,624","28,171"
,1514,춘장대IC ~ 무창포IC,"25,665","27,498","29,488","28,159"
,01514-1,무창포IC ~ 대천IC,"28,862","26,708","27,402","27,750"
,1515,대천IC ~ 광천IC,"28,296","31,800","31,552","30,717"
,1516,광천IC ~ 홍성IC,"30,221","31,025","32,930","34,035"
,1517,홍성IC ~ 해미IC,"37,688","30,079","36,252","37,975"
,1518,해미IC ~ 서산IC,"36,535","39,994","36,501","34,988"
,1519,서산IC ~ 당진JCT,"55,698","56,673","60,533","58,060"
,1520,당진JCT ~ 당진IC,"66,223","65,138","73,273","74,542"
,1521,당진IC ~ 송악IC,"67,371","74,043","75,675","71,250"
,1522,송악IC ~ 서평택IC,"87,251","101,167","92,486","89,329"
,1523,서평택IC ~ 서평택JCT,"98,839","107,492","109,020","104,247"
,01523-1,서평택JCT ~ 발안IC,"88,343","85,143","98,992","93,352"
,1524,발안IC ~ 비봉IC,"94,193","93,603","93,303","87,598"
,1525,비봉IC ~ 매송IC,"115,408","119,596","118,881","111,011"
,1526,매송IC ~ 팔곡JCT,"109,901","116,669","109,667","107,254"
,1527,팔곡JCT ~ 안산JCT,"90,278","83,258","104,376","101,146"
,1528,안산JCT ~ 조남JCT,"195,859","194,128","195,828","188,789"
,1529,조남JCT ~ 목감IC,"128,468","111,693","108,343","104,219"
,1530,목감IC ~ 광명역IC,"151,402","166,617","164,761","157,873"
,01530-1,광명역IC ~ 일직JCT,"149,475","143,212","139,845","131,516"
,1531,일직JCT ~ 소하JCT,"144,340","109,287","117,537","110,758"
,1532,소하JCT ~ 금천IC,"103,063","97,537","112,370","103,782"
울산선,1601,언양JCT ~ 울산JCT,"58,771","51,732","49,051","46,219"
,1602,울산JCT ~ 종점,"56,578","55,829","50,581","48,427"
평택화성선,1701,오성 ~ 평택JCT,"75,385","77,135","82,043","84,789"
,1702,평택JCT ~ 어연IC,"65,775","69,430","74,621","76,211"
,1703,어연IC ~ 양감IC,"69,149","70,512","75,476","78,645"
,01703-1,양감IC ~ 향남IC,-     ,-     ,"78,250","81,689"
,1704,향남IC ~ 서오산JCT,"86,438","87,164","94,039","96,550"
,1705,서오산JCT ~ 정남IC,"74,425","76,057","88,262","87,147"
,01705-1,정남IC ~ 화성JCT,-     ,-     ,-     ,-     
,1706,화성JCT ~ 봉담IC,"80,886","83,971","96,136","94,665"
수원광명선,01706-1,봉담IC ~ 금곡IC,-     ,-     ,"44,166","43,012"
,1707,금곡IC ~ 동안산·당수IC,"60,667","63,852","64,644","68,194"
,1708,동안산·당수IC ~ 남군포IC,"73,811","77,153","81,722","83,749"
,1709,남군포IC ~ 동시흥JCT,"74,692","76,437","79,186","87,739"
,1710,동시흥JCT ~ 성채·소하IC,"39,373","40,890","42,769","55,302"
익산포항선,02000-1,익산JCT ~ 완주IC,"29,415","31,489","32,941","31,457"
,02000-2,완주IC ~ 완주JCT,"27,402","33,953","34,569","34,582"
,02000-5,완주JCT ~ 소양IC,"12,291","13,036","13,274","12,852"
,02000-3,소양IC ~ 진안IC,"15,146","15,652","15,518","14,497"
,02000-4,진안IC ~ 장수IC,"13,063","14,668","15,251","14,367"
,2001,장수IC ~ 장수JCT,"13,542","13,806","14,572","13,295"
,02002-1,팔공산IC ~ 도동JCT,"33,920","32,077","32,825","31,864"
,2002,도동JCT ~ 청통와촌IC,"40,673","36,978","40,156","39,086"
,2003,청통와촌IC ~ 화산JCT,"32,619","30,395","30,967","28,944"
,02003-1,화산JCT ~ 북영천IC,"36,358","36,008","37,070","35,966"
,2004,북영천IC ~ 임고하이패스IC,"31,118","31,060","33,827","34,074"
,02004-1,임고하이패스IC ~ 서포항IC,-     ,-     ,"31,287","29,652"
,2005,서포항IC ~ 포항IC,"31,388","32,760","32,326","30,190"
호남선,2501,서순천IC ~ 승주IC,"31,921","33,291","31,811","29,092"
,2502,승주IC ~ 주암IC,"31,397","31,586","32,694","32,655"
,2503,주암IC ~ 석곡IC,"27,286","29,006","28,280","26,611"
,2504,석곡IC ~ 곡성IC,"27,829","29,593","29,624","27,871"
,2505,곡성IC ~ 옥과IC,"33,271","34,366","35,594","35,774"
,02505-1,옥과IC ~ 대덕JCT,"39,792","41,309","40,708","38,564"
,2506,대덕JCT ~ 창평IC,"28,149","27,588","28,575","26,761"
,2507,창평IC ~ 고서JCT,"30,433","31,168","32,426","31,195"
,2508,고서JCT ~ 문흥IC,"45,958","49,264","45,087","46,327"
,02508-2,문흥IC ~ 동광주IC,"59,576","66,423","58,997","57,574"
,02508-1,동광주IC ~ 용봉IC,"95,227","97,597","92,590","88,993"
,2509,용봉IC ~ 서광주IC,"115,062","125,647","115,246","110,568"
,2510,서광주IC ~ 동림IC,"106,902","109,076","120,171","116,635"
,02510-1,동림IC ~ 산월IC,"93,869","94,104","96,136","92,508"
,02510-2,산월IC ~ 광산IC,"77,365","59,462","58,476","56,690"
,02510-3,광산IC ~ 북광산IC,"38,356","46,862","43,205","40,743"
,2511,북광산IC ~ 장성IC,"40,696","43,080","45,519","42,371"
,02511-1,장성IC ~ 장성JCT,"40,327","43,650","45,805","42,162"
,2512,장성JCT ~ 백양사IC,"38,832","36,087","35,985","36,200"
,2513,백양사IC ~ 내장산IC,"33,224","37,494","37,892","34,608"
,2514,내장산IC ~ 정읍IC,"33,627","37,795","38,985","35,673"
,2515,정읍IC ~ 태인IC,"34,852","39,702","40,032","38,501"
,2516,태인IC ~ 금산사IC,"37,786","43,372","42,475","40,663"
,2517,금산사IC ~ 김제IC,"40,258","41,114","42,064","39,721"
,2518,김제IC ~ 서전주IC,"37,185","43,065","44,398","42,254"
,2519,서전주IC ~ 전주IC,"35,546","41,433","43,267","41,154"
,2520,전주IC ~ 삼례IC,"44,464","50,246","49,776","46,847"
,2521,삼례IC ~ 익산JCT,"48,548","49,906","52,320","51,642"
,02521-1,익산JCT ~ 익산IC,"72,738","79,975","83,003","81,247"
,2522,익산IC ~ 논산JCT,"74,266","67,682","81,017","77,350"
논산천안선,2525,논산JCT ~ 연무IC,"34,648","37,120","36,126","38,799"
,2526,연무IC ~ 서논산IC,"36,537","39,223","38,626","41,552"
,2527,서논산IC ~ 탄천IC,"37,732","39,978","40,665","43,017"
,2528,탄천IC ~ 남공주IC,"37,796","40,078","40,730","43,272"
,2529,남공주IC ~ 공주JCT,"39,751","42,141","42,916","45,864"
,02529-1,공주JCT ~ 북공주JCT,"45,414","48,183","48,578","51,987"
,02529-2,북공주JCT ~ 정안IC,"54,404","56,952","56,557","61,895"
,2530,정안IC ~ 남풍세IC,"64,453","66,093","66,823","71,774"
,02530-1,남풍세IC ~ 남천안IC,"59,501","61,482","62,459","64,348"
,2531,남천안IC ~ 천안JCT,"65,609","67,912","68,315","69,719"
순천완주선,2701,동순천IC ~ 순천JCT,"15,046","14,981","13,928","14,200"
,2702,순천JCT ~ 황전IC,"20,868","23,854","22,555","22,963"
,2703,황전IC ~ 구례화엄사IC,"18,699","21,583","19,940","20,524"
,2704,구례화엄사IC ~ 서남원IC,"22,743","23,793","24,505","24,744"
,2705,서남원IC ~ 남원JCT,"20,176","20,846","23,094","24,087"
,2706,남원JCT ~ 북남원IC,"22,502","19,090","20,050","19,921"
,2707,북남원IC ~ 오수IC,"21,138","24,168","22,342","23,398"
,2708,오수IC ~ 임실IC,"27,310","26,611","26,165","27,270"
,2709,임실IC ~ 상관IC,"24,534","22,586","25,061","25,266"
,2710,상관IC ~ 동전주IC,"19,736","19,082","21,061","21,644"
,2711,동전주IC ~ 완주JCT,"23,014","26,785","24,637","23,852"
구리포천선,2901,남구리IC ~ 중랑IC,"37,948","39,296","51,705","52,399"
,2902,중랑IC ~ 남별내IC,"58,174","54,102","64,900","68,056"
,2903,남별내IC ~ 동의정부IC,"46,285","53,670","60,887","62,922"
,2904,동의정부IC ~ 민락IC,"48,396","57,047","62,571","63,882"
,2905,민락IC ~ 소흘IC,"43,665","47,395","53,730","56,412"
,2906,소흘IC ~ 소흘JCT,"36,734","42,414","47,935","49,578"
,2907,소흘JCT ~ 선단IC,"49,767","47,021","45,930","46,785"
,2908,선단IC ~ 포천IC,"31,887","36,575","33,522","35,030"
,2909,포천IC ~ 신북IC,"18,847","21,735","23,105","22,210"
,02906-1,소흘JCT ~ 옥정IC,"8,175","9,904","11,696","11,834"
,02906-2,옥정IC ~ 양주IC,"7,034","8,944","10,267","10,192"
당진영덕선,03000-1,당진JCT ~ 면천IC,"20,690","19,789","20,299","19,395"
,03000-2,면천IC ~ 고덕IC,"21,015","22,066","21,740","20,543"
,03000-3,고덕IC ~ 예산수덕사IC,"18,511","19,960","19,973","20,072"
,03000-4,예산수덕사IC ~ 신양IC,"24,732","20,737","25,335","24,943"
,03000-5,신양IC ~ 유구IC,"24,665","25,477","24,372","24,265"
,03000-6,유구IC ~ 마곡사IC,"26,105","28,570","28,357","27,994"
,03000-7,마곡사IC ~ 서공주JCT,"29,840","27,897","30,775","29,371"
,03000-8,서공주JCT ~ 공주JCT,"40,624","36,962","44,373","44,607"
,03000-9,공주JCT ~ 공주IC,"28,912","30,789","28,837","28,044"
,03000-10,공주IC ~ 서세종IC,"33,726","33,804","35,903","34,939"
,03000-11,서세종IC ~ 남세종IC,"33,539","34,896","35,397","35,067"
,03000-12,남세종IC ~ 유성JCT,"39,515","38,500","40,855","40,814"
,3001,청주JCT ~ 문의IC,"38,830","42,942","39,746","36,270"
,3002,문의IC ~ 회인IC,"46,299","47,402","43,327","40,831"
,3003,회인IC ~ 보은IC,"40,711","35,166","37,124","37,771"
,3004,보은IC ~ 속리산IC,"37,958","42,308","39,213","37,586"
,3005,속리산IC ~ 화서IC,"35,982","40,774","36,231","34,601"
,3006,화서IC ~ 남상주IC,"36,847","40,171","37,625","35,744"
,3007,남상주IC ~ 낙동JCT,"34,404","42,936","40,419","38,995"
,3009,상주JCT ~ 동상주IC,"5,015","5,311","6,916","7,107"
,3010,동상주IC ~ 서의성IC,"8,479","8,262","9,815","9,327"
,3011,서의성IC ~ 안동JCT,"7,604","7,325","8,644","8,016"
,3012,안동JCT ~ 북의성IC,"10,772","9,956","9,946","9,786"
,3013,북의성IC ~ 동안동IC,"6,771","6,531","8,650","8,569"
,3014,동안동IC ~ 청송IC,"13,120","12,465","12,725","12,641"
,3015,청송IC ~ 동청송·영양IC,"6,360","7,027","9,147","9,057"
,3016,동청송·영양IC ~ 영덕IC,"9,448","8,190","8,756","8,535"
옥찬오창선,3200,옥산JC ~ 서오창IC,-     ,"8,089","11,605","11,105"
,3201,서오창IC ~ 오창JC,-     ,"3,998","7,336","6,130"
중부선,03501-1,통영IC ~ 북통영IC,"22,038","23,234","21,786","20,915"
,03501-2,북통영IC ~ 동고성IC,"24,026","21,909","27,004","26,477"
,03501-3,동고성IC ~ 고성IC,"30,791","29,679","30,179","30,049"
,03501-4,고성IC ~ 연화산IC,"18,295","19,853","18,783","18,268"
,03501-5,연화산IC ~ 진주JCT,"20,304","18,452","20,177","20,079"
,3501,진주JCT ~ 서진주IC,"34,168","34,406","32,867","32,967"
